Postal code,Price (euro),Lat,Long,PriceCat
1000,687374.7346072186,50.853812373745676,4.369278654960959,Budget-friendly
1020,374487.1538461539,50.87298266192055,4.375234148039785,Budget-friendly
1030,423392.49146757676,50.861805515601496,4.38605713534583,Mid-range
1040,664864.5161290322,50.87298266192055,4.375234148039785,Upscale
1050,853922.5456475584,50.822325604082295,4.377065860435231,Upscale
1060,602495.7983193278,50.829476307319766,4.344697581912635,Mid-range
1070,339733.3288888889,50.828980275263795,4.292904442200332,Budget-friendly
1080,332701.0216216216,50.85522961973389,4.318418678989754,Budget-friendly
1081,337081.08108108107,50.86301498471678,4.324083268779553,Mid-range
1082,571976.4038461539,50.86465279974552,4.293920189965437,Mid-range
1083,329982.4137931034,50.87440457885052,4.309447398997361,Upscale
1090,351399.9099099099,50.881720021988286,4.321383766329789,Mid-range
1120,359817.02127659577,50.87298266192055,4.375234148039785,Mid-range
1130,339881.9,50.87298266192055,4.375234148039785,Upscale
1140,337383.58208955225,50.87001921742844,4.408236007087518,Mid-range
1150,819751.282051282,50.83109966996703,4.443103143199102,Upscale
1160,558179.7752808989,50.81019872509648,4.43799132057269,Mid-range
1170,692341.4634146341,50.79291924189043,4.423479931708108,Mid-range
1180,982041.067264574,50.78987082854528,4.361370487792108,Upscale
1190,604079.6883116884,50.814084975691195,4.324177215886155,Exclusive
1200,518073.30677290837,50.84789153612173,4.431541527426499,Aspirational
1210,439350.0,50.853812373745676,4.369278654960959,Upscale
1300,462848.91891891893,50.69801921281275,4.5719102975057,Budget-friendly
1301,528000.0,50.7168861193855,4.581594841842499,Luxurious
1310,670923.0769230769,50.73629996455743,4.464834689100548,Upscale
1315,540990.9090909091,50.6951830376784,4.788379199533981,Mid-range
1320,515555.55555555556,50.78029938291994,4.7850703687239395,Upscale
1325,605930.8867924528,50.67844529926434,4.711227589915237,Exclusive
1330,519671.8510638298,50.7122118597938,4.528024961130181,Mid-range
1331,550000.0,50.73537497297937,4.546587881040538,Upscale
1332,539161.2903225806,50.722532048805405,4.500249260661122,Mid-range
1340,433880.0,50.67146356031946,4.584311991418305,Upscale
1341,510000.0,50.660622122467714,4.5341919461924025,Budget-friendly
1342,625000.0,50.68379979985528,4.5584085198370445,Upscale
1348,526040.0,50.64437790193214,4.610583193636526,Budget-friendly
1350,381653.7297297297,50.682127504134996,4.943561142913658,Mid-range
1357,400846.1538461539,50.75655859247487,4.98531372583491,Mid-range
1360,385478.17391304346,50.619095318139706,4.765632118823371,Mid-range
1367,397000.0,50.6450470427425,4.867898985361501,Mid-range
1370,413073.28571428574,50.717769456989686,4.877544510544012,Luxurious
1380,1233252.2096774194,50.683720905648165,4.487230128604433,Luxurious
1390,1386000.0,50.75149334838617,4.673104738692169,Upscale
1400,392564.74736842106,50.591388384222846,4.327273956190343,Budget-friendly
1401,356000.0,50.617663557366754,4.358076642200513,Mid-range
1404,3250000.0,50.6042547788242,4.2629198483323,Aspirational
1410,658665.4605263158,50.70976366812478,4.403520554166193,Mid-range
1420,583273.8532110092,50.692382997024126,4.35823745489421,Exclusive
1421,1224500.0,50.65760296310933,4.339701935206512,Budget-friendly
1428,377166.6666666667,50.64114510796939,4.366142301894997,Luxurious
1430,243588.23529411765,50.65387528143722,4.124926940143261,Mid-range
1435,573777.7777777778,50.64437790193214,4.610583193636526,Mid-range
1440,482210.5263157895,50.67878793707231,4.268277717247763,Mid-range
1450,431307.6923076923,50.57826594178644,4.618303657381869,Mid-range
1457,428384.6153846154,50.61680143779535,4.692532525665684,Mid-range
1460,606916.6666666666,50.64085582622058,4.259715332494394,Mid-range
1461,609000.0,50.64968399763807,4.300030197749638,Upscale
1470,423560.9756097561,50.60920472279855,4.448927543402161,Mid-range
1471,394499.5,50.594766353469524,4.4335308077062585,Mid-range
1472,1203500.0,50.62507941120234,4.412997016590901,Exclusive
1473,900000.0,50.63516214371723,4.44652131973248,Mid-range
1474,504500.0,50.62720733860356,4.470868865304241,Mid-range
1476,440000.0,50.575783513789226,4.410456750172978,Upscale
1480,295186.70588235295,50.68403302110266,4.1943623736711,Mid-range
1490,458055.55555555556,50.62644859932748,4.562595910150405,Upscale
1495,416142.85714285716,50.549583794306336,4.535360186118476,Mid-range
1500,371524.0779220779,50.73071382505011,4.240277878728712,Mid-range
1501,456700.55555555556,50.73746200178331,4.262453273944151,Mid-range
1502,463381.0,50.71036726580038,4.217983586174801,Mid-range
1540,524184.36363636365,50.722404957481096,4.03604040962386,Mid-range
1541,311666.6666666667,50.70447653722278,3.9925589861453323,Mid-range
1547,572000.0,50.71066390957348,3.9321743559343343,Upscale
1560,717916.6666666666,50.76103393358512,4.450819430141942,Exclusive
1570,402583.6666666667,50.74105581245334,3.9902980751472428,Budget-friendly
1600,422887.32692307694,50.78100238757931,4.2506966915186215,Mid-range
1601,333888.8888888889,50.78483815859806,4.296779977559773,Mid-range
1602,848000.0,50.80579534061165,4.230714668607756,Exclusive
1620,359916.6666666667,50.79350285511121,4.3090488169548555,Luxurious
1630,589153.8461538461,50.76794587216992,4.345414125035608,Exclusive
1640,1006347.4576271187,50.744496059136004,4.373732794655721,Exclusive
1650,488680.0,50.76625120592787,4.312619251793211,Luxurious
1651,359857.14285714284,50.76610927459038,4.2794918593238735,Mid-range
1652,555125.0,50.74752884006042,4.328078247271569,Upscale
1653,434555.55555555556,50.733773934276996,4.298649637605856,Mid-range
1654,338000.0,50.748563374114006,4.274053226347698,Mid-range
1670,543600.0,50.75588535895773,4.162898746828571,Mid-range
1673,625000.0,50.733790299411545,4.181339451829367,Upscale
