Postal code;Lat;Long
6834;49.839.895.206.995.400;5.119.076.371.486.760
6852;4.994.920.516.539.990;5.124.980.525.130.460
6853;4.992.614.724.730.350;5.161.248.013.672.430
6997;50.291.261.976.609.100;5.580.717.761.285.830
1654;50.748.563.374.114.000;4.274.053.226.347.690
3118;50.974.437.446.459.700;4.707.853.684.749.770
1653;50.733.773.934.276.900;4.298.649.637.605.850
9270;5.103.888.355.150.800;38.572.563.876.425.900
9290;5.102.452.070.785.000;39.594.524.507.697.300
9681;5.078.349.852.701.910;36.038.124.977.970.300
4761;5.045.179.830.084.440;6.305.604.104.635.680
4140;50.507.415.279.953.900;56.370.035.682.496.300
4877;5.058.736.496.113.960;5.731.972.613.312.910
4670;50.680.270.695.887.900;5.747.660.575.405.220
4750;50.479.812.184.949.600;6.223.987.444.186.980
4780;50.284.535.167.130.500;6.144.925.075.596.320
4051;5.060.192.572.212.110;56.339.567.661.787.500
4652;5.061.078.931.878.820;5.771.850.776.307.530
7740;5.068.821.665.184.890;3.328.838.749.789.710
6221;5.051.075.215.545.840;4.529.097.147.609.300
7942;5.061.648.174.771.690;38.531.560.201.932.300
7332;5.050.994.439.203.580;3.779.560.383.207.140
7010;504.951.508.161.205;3.972.124.117.938.850
6500;50.213.805.173.417.200;424.543.910.724.317
6250;50.416.649.525.281.200;4.591.784.707.468.040
7624;505.162.241.204.786;3.349.949.848.814.550
7611;5.052.946.413.753.030;3.306.893.241.964.830
7130;5.041.072.051.574.390;4.175.446.206.829.680
6560;5.030.024.640.277.610;4.145.436.326.314.290
5560;50.172.628.492.844.800;4.968.684.555.520.790
5363;50.335.160.801.619.300;5.113.867.500.779.080
5600;5.016.289.384.914.990;4.571.891.599.680.240
5641;503.095.092.940.113;470.307.395.011.975
5501;5.028.922.251.728.590;49.526.064.024.415
5651;5.029.549.130.048.670;4.455.249.275.038.870
5030;5.056.226.114.863.280;4.697.014.729.356.800
5150;5.042.119.091.720.400;477.748.662.433.658
3660;5.104.035.063.845.220;557.135.925.539.233
8610;510.244.017.181.459;29.995.172.539.979.000
8755;5.105.512.431.930.620;3.382.269.724.086.240
6630;4.981.114.180.866.700;5.724.790.024.237.840
6660;5.012.884.928.984.160;5.785.168.385.349.330
6781;4.961.176.867.222.080;5.855.063.999.433.780
6813;49.707.492.590.823.900;5.458.886.356.855.330
6920;50.065.483.546.895;5.111.386.048.020.260
1820;50.908.686.915.761.100;4.512.768.329.408.150
1502;5.071.036.726.580.030;4.217.983.586.174.800
3370;5.083.055.983.736.090;4.826.380.661.577.230
1852;50.954.721.858.824.500;4.363.325.827.639.950
1700;5.084.856.042.288.080;42.578.958.901.376.400
9860;50.933.609.936.771.300;37.703.436.593.791.900
9790;5.086.191.054.804.520;35.005.613.467.294.200
9570;5.078.878.863.358.730;38.431.823.958.137.700
4458;5.071.433.424.897.990;55.784.149.471.353.300
4031;5.059.185.028.437.590;5.577.531.125.648.640
4650;5.069.098.820.020.850;5.771.891.439.181.930
4560;50.420.737.448.736.700;5.369.765.408.196.320
4770;5.035.694.653.199.720;613.522.075.073.925
6110;5.037.221.819.422.900;4.377.794.034.073.580
7034;5.048.200.388.760.710;400.345.440.389.874
6532;50.311.942.516.865.700;4.269.962.571.572.190
6530;503.444.427.429.975;4.296.923.768.430.380
7604;5.055.086.938.268.500;3.536.924.130.255.550
7500;50.604.136.689.758.700;3.389.009.268.205.480
7333;5.046.581.770.145.300;3.800.762.342.554.160
7803;5.063.179.570.360.420;378.049.228.040.414
6594;50.005.375.479.855.100;4.162.295.575.481.090
7910;5.068.754.560.428.390;3.530.466.499.652.590
6120;5.032.368.641.321.890;4.392.363.013.422.620
7506;5.057.378.705.169.130;33.513.415.277.031.900
7783;5.072.755.766.166.640;28.780.756.030.848.800
1200;5.084.789.153.612.170;4.431.541.527.426.490
1049;5.087.001.921.742.840;4.408.236.007.087.510
1370;50.717.769.456.989.600;4.877.544.510.544.010
2590;5.110.495.876.136.280;4.654.716.228.104.270
2431;5.106.274.475.941.580;4.979.785.860.950.480
2801;51.048.896.156.279.400;4.409.688.494.262.010
6769;4.961.163.093.704.920;5.480.048.194.278.170
6044;50.439.827.627.940.500;4.390.184.365.559.580
6030;5.040.979.153.641.900;44.003.850.453.821.600
1780;5.090.957.954.247.920;430.932.217.692.078
9402;50.819.933.611.266.500;4.047.828.651.322.140
9920;5.110.476.775.744.930;3.622.449.773.263.770
9185;5.118.040.422.959.490;38.732.661.150.898.000
9030;5.107.386.417.979.970;36.785.357.740.312.900
9140;51.140.756.480.974.700;4.216.570.683.439.020
4141;5.052.741.912.628.160;5.717.120.147.431.570
4570;50.473.945.293.960.400;5.233.448.550.941.890
6464;5.000.089.209.592.160;4.357.438.686.155.870
7861;5.069.629.991.312.960;37.873.374.933.022.100
7131;50.404.053.619.435.300;4.150.309.924.021.000
7134;5.042.207.407.680.260;4.193.661.361.460.710
6181;5.049.356.069.435.280;4.321.858.639.805.030
7382;5.038.275.401.924.750;3.723.392.783.820.700
7301;5.042.392.561.275.430;38.208.323.149.960.900
6230;5.051.181.207.915.500;4.390.802.624.362.680
1130;5.087.298.266.192.050;4.375.234.148.039.780
1410;5.070.976.366.812.470;4.403.520.554.166.190
1474;5.062.720.733.860.350;4.470.868.865.304.240
2350;5.130.529.427.138.710;4.885.090.740.973.930
2870;51.072.368.741.393.900;4.291.591.868.087.930
2360;5.132.073.392.547.650;5.004.371.318.046.820
5364;5.036.563.070.490.370;5.124.727.454.236.160
5001;5.046.995.741.568.750;4.821.762.784.969.380
5000;50.457.759.547.420.400;4.854.539.162.275.630
3530;51.030.095.988.663.900;54.215.253.160.211.200
3580;51.045.748.329.744.200;5.223.021.187.980.110
3742;5.085.271.278.619.860;5.532.850.517.898.540
3791;5.072.970.119.687.920;5.883.215.704.808.160
3798;5.076.051.302.436.150;577.243.333.760.869
8460;5.119.721.509.326.910;2.998.147.048.625.270
8582;5.075.878.665.269.720;3.426.397.560.847.420
8640;5.092.894.644.794.190;2.745.174.468.977.810
8690;5.101.476.098.287.000;272.121.062.374.652
8791;5.087.235.752.687.970;3.345.056.110.746.940
8880;5.087.492.645.636.230;31.513.772.152.801.400
6600;4.999.402.420.506.630;5.778.188.594.148.570
6688;500.426.383.250.265;5.670.351.880.014.500
6692;5.028.124.402.586.550;5.988.170.180.603.460
6980;5.015.622.908.507.210;5.522.423.987.166.030
1860;50.943.740.928.977;4.325.099.323.868.310
1650;5.076.625.120.592.780;4.312.619.251.793.210
1742;5.087.573.299.371.620;41.359.676.324.531.700
5523;50.279.590.825.418.500;4.857.621.564.582.520
3800;50.798.878.110.258.000;52.274.980.798.927.700
3941;51.156.731.809.260.200;5.350.842.696.730.280
8554;5.076.269.677.519.780;33.518.778.713.429.900
8904;5.089.559.226.356.290;2.865.255.587.209.110
8954;5.079.934.939.433.770;27.437.920.011.764.800
8956;5.079.001.022.171.510;2.835.750.526.775.860
8970;50.853.593.199.911.800;271.933.380.201.441
6900;5.021.249.107.184.120;53.662.325.505.714.000
3200;5.098.527.054.969.420;48.343.102.291.469.700
1674;50.737.711.397.804;41.587.223.583.369.500
3054;5.082.209.967.822.460;4.688.803.551.561.260
3010;5.088.954.206.447.250;4.736.791.897.843.720
3053;5.081.690.502.548.460;4.705.482.591.274.830
1105;5.087.298.266.192.050;4.375.234.148.039.780
1050;50.822.325.604.082.200;4.377.065.860.435.230
2320;51.399.348.468.595.500;4.742.741.597.146.220
2321;51.452.321.282.795.300;4.727.615.310.693.470
2531;51.175.995.125.929.600;4.536.292.285.020.090
9200;5.103.696.478.515.700;4.084.093.700.934.430
9991;5.118.218.511.767.290;3.502.766.008.215.290
9180;5.118.224.611.521.420;39.450.631.009.265
9980;51.232.721.096.844.300;3.537.156.676.449.160
9881;5.109.168.561.675.320;34.977.257.175.846.700
9571;5.080.897.937.344.390;38.629.835.042.889.300
4163;50.496.045.601.679.700;5.473.824.801.913.650
4990;5.029.409.301.034.040;5.794.561.305.962.560
4450;50.708.868.602.680.000;5.547.836.209.240.520
4970;5.039.359.722.903.740;5.950.319.171.761.080
4053;5.059.057.394.130.480;5.607.087.043.742.460
4681;5.071.604.706.559.910;5.675.361.165.537.330
