Post code,Latitude,Longitude
5571,50.1452292,4.978305525
5080,50.51802157,4.823040677
5543,50.16549171,4.844595752
3581,51.09009897,5.248218029
3583,51.04768605,5.173248093
3590,50.91148333,5.417426449
3640,51.17115647,5.728808569
3717,50.72596086,5.425422104
3891,50.75059399,5.176326978
3980,51.05478319,5.069536264
8553,50.80839108,3.421563782
6870,50.03690455,5.313902124
7504,50.58098204,3.33038141
7822,50.64718156,3.843981477
1401,50.61766356,4.358076642
1460,50.64085583,4.259715332
2640,51.17463976,4.461040133
2382,51.44976104,5.052107034
2310,51.35514942,4.767494275
2547,51.12769847,4.497806447
2845,51.10729377,4.335565932
2060,51.24844782,4.376134025
2627,51.12267362,4.342687429
2381,51.41131355,5.006010075
2150,51.19145932,4.487687146
2387,51.416414,4.90389421
3472,50.89424346,5.006373149
3272,51.01625603,4.946307973
3212,50.87476684,4.79002969
1640,50.74449606,4.373732795
3450,50.89500694,5.10532003
1540,50.72240496,4.03604041
9473,50.89809664,4.050302143
9112,51.16014232,4.029177438
9031,51.05120254,3.63304677
9308,50.96736516,4.02966976
4730,50.64916633,6.140831298
4632,50.65314739,5.722308262
4351,50.69690293,5.341979783
4480,50.54940848,5.390638932
4910,50.47929329,5.792942482
7510,50.60261164,3.347229564
7020,50.49515082,3.972124118
6534,50.34868909,4.346616191
7860,50.70782135,3.827655959
7330,50.45007063,3.817290434
7864,50.73219063,3.864658883
7100,50.48132422,4.190111543
6531,50.31812045,4.311671936
3722,50.85569212,5.409332425
8550,50.80547298,3.339351438
8691,50.97630182,2.636032137
8700,50.99997765,3.337406906
8760,50.95105389,3.295037937
6840,49.84240247,5.431672183
6983,50.13014082,5.628599162
6987,50.22556154,5.482531104
3120,50.99429272,4.709198895
1541,50.70447654,3.992558986
3270,50.97091252,4.977675318
5351,50.44186471,5.147327658
5540,50.20788368,4.832756422
5550,49.81215042,4.913132884
3582,51.07062776,5.280676899
3850,50.87456504,5.19362895
8480,51.13008496,3.024847844
8570,50.84340915,3.464043078
8830,50.98182637,3.064023304
8978,50.8472779,2.640712715
3300,50.80922727,4.941172558
3401,50.71803236,5.087728599
3210,50.88357963,4.83508169
1501,50.737462,4.262453274
1950,50.84538698,4.471344482
9771,50.88292882,3.502755672
9190,51.21058098,4.01802861
9051,51.02083507,3.677040444
9700,50.84801887,3.611088263
9770,50.91614505,3.529963191
4181,50.42561168,5.576700591
4342,50.68356624,5.455776384
4161,50.50232902,5.512449689
4650,50.60668765,5.80687444
4257,50.71200958,5.210981478
6210,50.53834845,4.445996017
7802,50.58665419,3.729301714
6200,50.38361149,4.510607245
7000,50.45620348,3.968502167
7021,50.45918696,4.044682822
1033,50.86180552,4.386057135
1006,50.87298266,4.375234148
1043,50.86180552,4.386057135
1060,50.82947631,4.344697582
1300,50.69801921,4.571910298
2170,51.2515664,4.444501623
2630,51.131834,4.38252199
7711,50.73438991,3.293799094
6210,50.48811219,4.470914471
7190,50.56896913,4.163406278
1120,50.87298266,4.375234148
1150,50.83109967,4.443103143
1320,50.78029938,4.785070369
1331,50.73537497,4.546587881
1348,50.6443779,4.610583194
1404,50.60425478,4.262919848
2520,51.18517245,4.599904016
2490,51.16634441,5.18950762
2530,51.1606709,4.507452124
2270,51.1391622,4.7599353
5621,50.29540777,4.565329627
5640,50.32632852,4.650508997
5537,50.33358697,4.796803953
5020,50.49563851,4.873254628
5377,50.29626289,5.303213462
5081,50.53704045,4.775332482
3501,50.87972177,5.353051554
3620,50.89998677,5.645659516
3950,51.1908889,5.58739521
8850,50.97072025,3.204586319
6821,49.742934,5.298180861
6834,49.83989521,5.119076371
6852,49.94920517,5.124980525
6853,49.92614725,5.161248014
6997,50.29126198,5.580717761
1654,50.74856337,4.274053226
3118,50.97443745,4.707853685
1653,50.73377393,4.298649638
9270,51.03888355,3.857256388
9290,51.02452071,3.959452451
9681,50.78349853,3.603812498
4761,50.4517983,6.305604105
4140,50.50741528,5.637003568
4877,50.58736496,5.731972613
4670,50.6802707,5.747660575
4750,50.47981218,6.223987444
4780,50.28453517,6.144925076
4051,50.60192572,5.633956766
4652,50.61078932,5.771850776
7740,50.68821665,3.32883875
6221,50.51075216,4.529097148
7942,50.61648175,3.85315602
7332,50.50994439,3.779560383
7010,50.49515082,3.972124118
6500,50.21380517,4.245439107
6250,50.41664953,4.591784707
7624,50.51622412,3.349949849
7611,50.52946414,3.306893242
7130,50.41072052,4.175446207
6560,50.3002464,4.145436326
5560,50.17262849,4.968684556
5363,50.3351608,5.113867501
5600,50.16289385,4.5718916
5641,50.30950929,4.70307395
5501,50.28922252,4.952606402
5651,50.2954913,4.455249275
5030,50.56226115,4.697014729
5150,50.42119092,4.777486624
3660,51.04035064,5.571359255
8610,51.02440172,2.999517254
8755,51.05512432,3.382269724
6630,49.81114181,5.724790024
6660,50.12884929,5.785168385
6781,49.61176867,5.855063999
6813,49.70749259,5.458886357
6920,50.06548355,5.111386048
1820,50.90868692,4.512768329
1502,50.71036727,4.217983586
3370,50.83055984,4.826380662
1852,50.95472186,4.363325828
1700,50.84856042,4.25789589
9860,50.93360994,3.770343659
9790,50.86191055,3.500561347
9570,50.78878863,3.843182396
4458,50.71433425,5.578414947
4031,50.59185028,5.577531126
4650,50.6909882,5.771891439
4560,50.42073745,5.369765408
4770,50.35694653,6.135220751
6110,50.37221819,4.377794034
7034,50.48200389,4.003454404
6532,50.31194252,4.269962572
6530,50.34444274,4.296923768
7604,50.55086938,3.53692413
7500,50.60413669,3.389009268
7333,50.4658177,3.800762343
7803,50.6317957,3.78049228
6594,50.00537548,4.162295575
7910,50.6875456,3.5304665
6120,50.32368641,4.392363013
7506,50.57378705,3.351341528
7783,50.72755766,2.878075603
1200,50.84789154,4.431541527
1049,50.87001922,4.408236007
1370,50.71776946,4.877544511
2590,51.10495876,4.654716228
2431,51.06274476,4.979785861
2801,51.04889616,4.409688494
6769,49.61163094,5.480048194
6044,50.43982763,4.390184366
6030,50.40979154,4.400385045
1780,50.90957954,4.309322177
9402,50.81993361,4.047828651
9920,51.10476776,3.622449773
9185,51.18040423,3.873266115
9030,51.07386418,3.678535774
9140,51.14075648,4.216570683
4141,50.52741913,5.717120147
4570,50.47394529,5.233448551
6464,50.0008921,4.357438686
7861,50.69629991,3.787337493
7131,50.40405362,4.150309924
7134,50.42207408,4.193661361
6181,50.49356069,4.32185864
7382,50.38275402,3.723392784
7301,50.42392561,3.820832315
6230,50.51181208,4.390802624
1130,50.87298266,4.375234148
1410,50.70976367,4.403520554
1474,50.62720734,4.470868865
2350,51.30529427,4.885090741
2870,51.07236874,4.291591868
2360,51.32073393,5.004371318
5364,50.3656307,5.124727454
5001,50.46995742,4.821762785
5000,50.45775955,4.854539162
3530,51.03009599,5.421525316
3580,51.04574833,5.223021188
3742,50.85271279,5.532850518
3791,50.7297012,5.883215705
